"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5"
"10",0.000151194570053644,4.57009277030176e-05,0.000197234732165225,4.36416585695885e-05,6.9966354096806e-05,7.61499582717013e-05
"2",0.000321397313289714,2.15916430122955e-05,0.000217317829992079,1.65943822830402e-05,0.000132925886665122,3.96292307297518e-06
"3",7.19739165328762e-07,9.88138652382162e-13,0.000157017449497582,1.97933245393983e-05,0.000240602046128651,0.000266766023907721
"4",0.000504363041012866,0.000615811579060849,3.44951605228013e-07,0.00110950230695263,0.000233389176710655,1.50276199824577e-05
"5",0.00025204535948069,0.000307736143862238,1.72306863623273e-07,0.000154086720554264,0.000116634573179723,0.000231675405450899
"6",7.48702695043118e-05,0.000184601013380475,0.000197234732165225,4.36416585695885e-05,6.9966354096806e-05,7.61499582717013e-05
"7",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"8",0.000151194570053644,0.000184601013380475,0.000197234732165225,0.00138671444571068,6.9966354096806e-05,0.000149989490577061
"9",7.48702695043118e-05,4.57009277030176e-05,3.73080723616849e-05,0.000187532198306708,6.9966354096806e-05,0.000149989490577061
"aa",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"aaa",0.000173391843141003,0.000133087020659125,0.000131475230755398,0.00012500767418593,4.66394414344485e-05,9.9982211084283e-05
"aaron",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"aarp",0.000100785502867268,0.000123053790603423,0.00012048292589368,0.000130050689922566,4.66394414344485e-05,9.9982211084283e-05
"abandon",0.000100785502867268,0.000123053790603423,0.000131475230755398,0.000130050689922566,0.000352481632768467,9.9982211084283e-05
"abbas",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,0.000723619949655005,4.99857157793011e-05
"abbott",2.72323769128835e-05,6.49321373340513e-05,0.000112073999101722,0.000131102793370531,1.66618207405077e-05,0.000450259896948516
"abc",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,0.000519543150219144
"abele",0.000151194570053644,0.000450422516123511,3.73080723616849e-05,0.000187532198306708,6.9966354096806e-05,0.000149989490577061
"abide",0.000173391843141003,0.000123053790603423,0.000131475230755398,0.000130050689922566,4.66394414344485e-05,9.9982211084283e-05
"ability",0.000352939720414395,0.000689407618915826,2.67281283223505e-05,4.4858473480373e-05,0.000163321997110204,0.000350126543778983
"abject",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"able",1.02577363069982e-05,7.08298946644804e-07,0.000371638391076305,0.00104406269437442,8.82478883110715e-06,0.000801067611931932
"abolish",2.86628586589786e-06,0.000284246860980624,2.67281283223505e-05,0.000437768350993267,4.65148582528563e-05,2.53825611765301e-06
"abolition",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,0.000462009387415317,2.33173240594896e-05,4.99857157793011e-05
"abort",1.19240910506801e-07,4.37239575477558e-06,8.61949599028517e-06,0.000375188592148657,0.000454221253761498,1.93282771166698e-07
"abortion",0.000431898190155164,0.000371682135823824,0.000644565821134675,0.000545568787970503,4.07818172567977e-05,9.88195448066057e-05
"abortioneven",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,0.000462009387415317,2.33173240594896e-05,4.99857157793011e-05
"abraham",0.000100785502867268,0.000123053790603423,0.00012048292589368,0.00012500767418593,4.66394414344485e-05,0.000175073225052359
"abrahamlincoln",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,0.000723619949655005,4.99857157793011e-05
"abramoff",0.000100785502867268,0.000123053790603423,0.000131475230755398,0.000130050689922566,0.000352481632768467,9.9982211084283e-05
"absent",0.000173391843141003,0.000123053790603423,0.000131475230755398,0.00012500767418593,4.66394414344485e-05,0.000175073225052359
"absentee",0.000151194570053644,0.000184601013380475,3.73080723616849e-05,0.000443368984978996,6.9966354096806e-05,0.000149989490577061
"absolute",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,0.000519543150219144
"absolutely",0.00025204535948069,1.39565217516821e-07,0.000328797539591067,0.000154086720554264,0.000560172039535198,0.000250036420790793
"absorb",0.00103521033118336,0.000123053790603423,0.000131475230755398,0.00012500767418593,4.66394414344485e-05,9.9982211084283e-05
"abstinence",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,0.000519543150219144
"absurd",5.03873144183714e-05,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,0.000723619949655005,4.99857157793011e-05
"abu",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"abuse",0.000149849433863519,0.000399663260972177,0.00039460085863713,0.000375188592148657,0.000139975883550662,1.93282771166698e-07
"abuser",0.000173391843141003,0.000123053790603423,0.000131475230755398,0.00012500767418593,4.66394414344485e-05,0.000175073225052359
"academic",0.000517460169668643,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"academy",7.48702695043118e-05,0.000184601013380475,0.000197234732165225,0.000443368984978996,6.9966354096806e-05,0.000149989490577061
"accelerate",5.03873144183714e-05,0.000466022540131322,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"accept",3.89279611266377e-07,0.000159133142482837,0.000197202992402815,6.92513649466702e-05,0.000463381676881749,2.08918395955261e-07
"acceptingforeign",0.000517460169668643,6.15201214737213e-05,6.57303222016295e-05,6.24969434534058e-05,2.33173240594896e-05,4.99857157793011e-05
"access",3.58578390434894e-07,0.000130066686365114,0.000224598881921471,1.57730950902741e-05,3.33899611513484e-05,5.22843130528206e-05
"accident",0.000453877690619192,0.000554169312658159,1.95674708568716e-06,0.00040195057671097,0.000210028641710151,0.000228783313977489
